Restaurant Name,Location,Cuisine,Secondary Cuisine,Price Range,Dish,Price
Flavors,Chennai,Hyderabadi,Mughlai,₹500-₹1000,Dhokla,127
Flavors,Mumbai,Gujarati,Chaat,₹300-₹700,Sambar Vada,159
Dosa,Pune,Street Food,Awadhi,₹700-₹1500,Biryani,1577
Spice I,Chennai,South Indian,Tandoori,₹300-₹700,Chicken Tikka,1485
Relish R,Bengaluru,Mughlai,Mughlai,₹200-₹500,Haleem,328
Rasoi P,Ahmedabad,South Indian,Coastal,₹200-₹500,Laal Maas,1005
Relish,Pune,South Indian,Chaat,₹300-₹700,Chole Bhature,1673
Swad,Pune,Rajasthani,Coastal,₹700-₹1500,Chole Bhature,1833
Swad H,Chennai,South Indian,Mughlai,₹1000-₹2000,Solkadi,684
Dosa,Delhi,Bengali,Awadhi,₹700-₹1500,Masala Dosa,1945
Taj,Ahmedabad,Street Food,,₹300-₹700,Laal Maas,1647
Relish,Jaipur,Rajasthani,Chaat,₹100-₹300,Chole Bhature,1607
Taj E,Delhi,Mughlai,Coastal,₹300-₹700,Laal Maas,1974
Zaiqa,Chennai,Hyderabadi,Chaat,₹300-₹700,Solkadi,1702
Feast,Pune,Street Food,Tandoori,₹200-₹500,Laal Maas,1983
Swad P,Pune,Street Food,Chaat,₹200-₹500,Biryani,895
Feast Y,Bengaluru,South Indian,,₹200-₹500,Filter Coffee,858
Spice G,Hyderabad,Seafood,Tandoori,₹700-₹1500,Solkadi,514
Royal Y,Bengaluru,Hyderabadi,Coastal,₹700-₹1500,Plain Dosa,1768
Dosa L,Hyderabad,Seafood,Coastal,₹500-₹1000,Dahi Vada,284
Swad,Lucknow,Street Food,Coastal,₹200-₹500,Solkadi,167
Dosa,Lucknow,Street Food,Mughlai,₹500-₹1000,Dahi Vada,1282
Relish,Hyderabad,Gujarati,Chaat,₹500-₹1000,Plain Dosa,1532
Rasoi Z,Mumbai,Rajasthani,Coastal,₹700-₹1500,Chole Bhature,1974
Relish,Bengaluru,Gujarati,,₹300-₹700,Gulab Jamun,964
Zaiqa,Ahmedabad,West Indian,Tandoori,₹500-₹1000,Dahi Vada,226
Spice,Delhi,North Indian,Mughlai,₹200-₹500,Butter Chicken,282
Swad,Pune,West Indian,Tandoori,₹700-₹1500,Laal Maas,1783
Royal P,Delhi,Rajasthani,Chaat,₹200-₹500,Laal Maas,1652
Royal,Ahmedabad,West Indian,,₹100-₹300,Chicken Tikka,923
Royal P,Jaipur,Street Food,Awadhi,₹300-₹700,Gulab Jamun,923
Feast C,Lucknow,Hyderabadi,Coastal,₹500-₹1000,Chicken Tikka,332
Swad,Chennai,Bengali,,₹200-₹500,Chicken Tikka,288
Taj,Mumbai,West Indian,,₹1000-₹2000,Dahi Vada,1338
Swad T,Lucknow,Hyderabadi,Chaat,₹200-₹500,Masala Dosa,1439
Taj,Bengaluru,South Indian,Tandoori,₹200-₹500,Gulab Jamun,1347
Royal,Pune,Hyderabadi,Tandoori,₹200-₹500,Chole Bhature,359
Feast M,Pune,West Indian,Coastal,₹700-₹1500,Sambar Vada,486
Taj,Delhi,Street Food,Tandoori,₹100-₹300,Haleem,293
Swad N,Mumbai,South Indian,Tandoori,₹200-₹500,Chole Bhature,1976
Zaiqa,Jaipur,Rajasthani,Awadhi,₹100-₹300,Kebabs,1086
Dosa,Bengaluru,Rajasthani,,₹500-₹1000,Plain Dosa,431
Flavors N,Pune,Gujarati,Awadhi,₹1000-₹2000,Laal Maas,775
Taj E,Chennai,Hyderabadi,Tandoori,₹500-₹1000,Pav Bhaji,1133
Rasoi,Kolkata,Gujarati,,₹500-₹1000,Haleem,182
Swad G,Bengaluru,Street Food,Awadhi,₹500-₹1000,Masala Dosa,860
Spice,Delhi,Rajasthani,Coastal,₹1000-₹2000,Biryani,633
Swad H,Delhi,North Indian,Chaat,₹500-₹1000,Haleem,764
Zaiqa I,Mumbai,North Indian,Tandoori,₹100-₹300,Sambar Vada,1175
Flavors,Hyderabad,North Indian,Awadhi,₹500-₹1000,Filter Coffee,397
Rasoi,Jaipur,Rajasthani,Awadhi,₹700-₹1500,Masala Dosa,934
Swad,Mumbai,Bengali,Mughlai,₹500-₹1000,Gulab Jamun,1671
Spice,Chennai,West Indian,Tandoori,₹300-₹700,Filter Coffee,810
Taj F,Hyderabad,South Indian,Tandoori,₹700-₹1500,Dahi Vada,1201
Rasoi,Chennai,Hyderabadi,Awadhi,₹500-₹1000,Solkadi,989
Swad,Mumbai,Gujarati,,₹1000-₹2000,Chole Bhature,51
Spice,Pune,Mughlai,Coastal,₹700-₹1500,Plain Dosa,1965
Flavors,Jaipur,Seafood,Chaat,₹200-₹500,Filter Coffee,1643
Rasoi,Delhi,North Indian,Tandoori,₹300-₹700,Butter Chicken,1386
Zaiqa N,Delhi,Gujarati,Chaat,₹1000-₹2000,Chole Bhature,327
Taj S,Jaipur,Hyderabadi,Tandoori,₹300-₹700,Butter Chicken,1148
Rasoi,Kolkata,West Indian,Awadhi,₹100-₹300,Kebabs,1297
Dosa G,Chennai,North Indian,Coastal,₹700-₹1500,Chole Bhature,609
Zaiqa X,Kolkata,Gujarati,Chaat,₹100-₹300,Prawn Curry,663
Relish,Ahmedabad,Mughlai,Chaat,₹300-₹700,Pav Bhaji,1322
Relish,Hyderabad,Mughlai,Chaat,₹500-₹1000,Sambar Vada,1150
Swad,Chennai,South Indian,Mughlai,₹100-₹300,Butter Chicken,119
Rasoi,Hyderabad,South Indian,,₹1000-₹2000,Pav Bhaji,1198
Rasoi,Jaipur,Hyderabadi,Coastal,₹300-₹700,Laal Maas,515
Spice,Bengaluru,South Indian,Tandoori,₹200-₹500,Haleem,1319
Flavors X,Bengaluru,Bengali,Awadhi,₹100-₹300,Gulab Jamun,1500
Zaiqa,Chennai,Bengali,Coastal,₹500-₹1000,Butter Chicken,1415
Taj,Mumbai,Rajasthani,Tandoori,₹200-₹500,Sambar Vada,391
Taj,Mumbai,Rajasthani,,₹100-₹300,Chicken Tikka,1440
Zaiqa,Bengaluru,West Indian,Mughlai,₹100-₹300,Masala Dosa,497
Taj P,Delhi,Mughlai,Awadhi,₹1000-₹2000,Pav Bhaji,1778
Swad,Pune,North Indian,Tandoori,₹200-₹500,Laal Maas,1583
Spice,Bengaluru,Street Food,Awadhi,₹700-₹1500,Laal Maas,399
Feast,Chennai,Hyderabadi,Awadhi,₹100-₹300,Pav Bhaji,1762
Rasoi,Jaipur,Mughlai,Chaat,₹500-₹1000,Kosha Mangsho,1767
Dosa,Chennai,South Indian,,₹500-₹1000,Kebabs,454
Royal,Bengaluru,Seafood,Mughlai,₹100-₹300,Filter Coffee,602
Flavors,Pune,Seafood,Tandoori,₹200-₹500,Haleem,1450
Zaiqa E,Hyderabad,Gujarati,Awadhi,₹300-₹700,Sambar Vada,1201
Taj C,Jaipur,West Indian,Coastal,₹300-₹700,Pav Bhaji,121
Feast,Delhi,Bengali,Mughlai,₹200-₹500,Masala Dosa,102
Dosa,Jaipur,North Indian,,₹300-₹700,Solkadi,432
Zaiqa,Delhi,North Indian,Tandoori,₹300-₹700,Kebabs,1461
Dosa J,Mumbai,Street Food,Awadhi,₹200-₹500,Dhokla,449
Taj,Kolkata,Street Food,Chaat,₹100-₹300,Laal Maas,1442
Relish T,Mumbai,Bengali,Chaat,₹200-₹500,Biryani,1766
Taj I,Lucknow,Hyderabadi,Chaat,₹700-₹1500,Kosha Mangsho,1283
Flavors,Mumbai,South Indian,Tandoori,₹200-₹500,Dahi Vada,938
Royal,Mumbai,Hyderabadi,,₹1000-₹2000,Masala Dosa,1791
Flavors,Bengaluru,South Indian,Coastal,₹1000-₹2000,Chole Bhature,1355
Swad,Ahmedabad,North Indian,,₹300-₹700,Dahi Vada,52
Spice W,Bengaluru,Bengali,,₹100-₹300,Biryani,1292
Royal J,Bengaluru,Street Food,Tandoori,₹100-₹300,Gulab Jamun,964
Swad,Hyderabad,North Indian,Mughlai,₹700-₹1500,Masala Dosa,1631
Royal,Pune,Rajasthani,Tandoori,₹1000-₹2000,Sambar Vada,149
Spice,Hyderabad,West Indian,Coastal,₹300-₹700,Filter Coffee,1298
Zaiqa J,Hyderabad,Seafood,Awadhi,₹1000-₹2000,Biryani,1616
Rasoi,Bengaluru,Hyderabadi,Tandoori,₹100-₹300,Gulab Jamun,86
Royal W,Jaipur,South Indian,Chaat,₹500-₹1000,Butter Chicken,1796
Flavors,Pune,Rajasthani,Mughlai,₹1000-₹2000,Masala Dosa,1060
Taj,Chennai,Bengali,Awadhi,₹300-₹700,Solkadi,411
Relish M,Kolkata,Gujarati,Coastal,₹200-₹500,Filter Coffee,803
Flavors,Hyderabad,North Indian,Chaat,₹500-₹1000,Prawn Curry,303
Spice A,Kolkata,North Indian,Mughlai,₹200-₹500,Dahi Vada,720
Spice M,Chennai,West Indian,Mughlai,₹1000-₹2000,Chole Bhature,1699
Taj L,Pune,Seafood,Coastal,₹1000-₹2000,Kosha Mangsho,1960
Rasoi,Lucknow,South Indian,Mughlai,₹200-₹500,Butter Chicken,433
Relish,Pune,Mughlai,Mughlai,₹1000-₹2000,Butter Chicken,1156
Zaiqa R,Hyderabad,South Indian,,₹300-₹700,Kosha Mangsho,520
Taj,Delhi,North Indian,Coastal,₹700-₹1500,Kosha Mangsho,653
Rasoi,Kolkata,Hyderabadi,Tandoori,₹700-₹1500,Kosha Mangsho,724
Rasoi,Delhi,Seafood,Tandoori,₹100-₹300,Butter Chicken,1402
Zaiqa,Jaipur,Street Food,,₹500-₹1000,Dhokla,1316
Feast,Ahmedabad,Seafood,,₹1000-₹2000,Filter Coffee,1807
Royal,Kolkata,Rajasthani,Tandoori,₹500-₹1000,Laal Maas,1519
Taj,Chennai,Bengali,Chaat,₹300-₹700,Filter Coffee,668
Royal,Pune,Gujarati,Chaat,₹300-₹700,Biryani,425
Flavors U,Mumbai,Street Food,Awadhi,₹200-₹500,Masala Dosa,518
Rasoi B,Hyderabad,North Indian,,₹200-₹500,Dhokla,1934
Royal E,Chennai,Bengali,,₹200-₹500,Chole Bhature,1461
Zaiqa,Ahmedabad,Street Food,Chaat,₹200-₹500,Kosha Mangsho,922
Rasoi,Kolkata,West Indian,,₹1000-₹2000,Kosha Mangsho,502
Dosa,Chennai,South Indian,Coastal,₹200-₹500,Pav Bhaji,513
Feast,Kolkata,Rajasthani,Coastal,₹300-₹700,Dhokla,1039
Dosa,Mumbai,South Indian,Mughlai,₹100-₹300,Chicken Tikka,1625
Dosa,Lucknow,Gujarati,Tandoori,₹700-₹1500,Biryani,1325
Feast O,Kolkata,Hyderabadi,Chaat,₹500-₹1000,Prawn Curry,127
Flavors U,Ahmedabad,Mughlai,Tandoori,₹200-₹500,Pav Bhaji,226
Dosa,Bengaluru,South Indian,,₹300-₹700,Kosha Mangsho,1317
Relish,Pune,North Indian,Mughlai,₹200-₹500,Sambar Vada,556
Swad G,Bengaluru,West Indian,Tandoori,₹1000-₹2000,Masala Dosa,595
Dosa C,Hyderabad,Hyderabadi,Coastal,₹100-₹300,Chole Bhature,536
Relish,Delhi,Seafood,Mughlai,₹1000-₹2000,Gulab Jamun,51
Taj,Lucknow,West Indian,Tandoori,₹100-₹300,Chole Bhature,748
Royal,Kolkata,South Indian,Tandoori,₹500-₹1000,Filter Coffee,1773
Swad,Kolkata,Street Food,Chaat,₹500-₹1000,Prawn Curry,828
Dosa T,Bengaluru,Bengali,,₹300-₹700,Masala Dosa,1464
